title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
My Stapler Has Tenure,rock,The Beige Alarmists,2019,41203,{},"[Verse 1]
I filed a form to request a form
To formally request a form
Brenda from Compliance said the form was warm
So we let the form sleep in the storm

[Chorus]
My stapler has tenure, my stapler has tenure
It outranks me, it out-earns me
My stapler has tenure and a corner view
And it will not be reviewed by you",1,en,en,en
Reply All (I Am So Sorry),pop,Trish Vandelay,2020,88117,{},"[Verse 1]
I meant to send it just to Doug
Instead I sent it to the globe
Four thousand people read my thoughts
About the smell of Terry's robe

[Chorus]
Reply all, reply all
I have ruined the entire hall
Reply all, reply all
Please recall, please recall, PLEASE RECALL",2,en,en,en
Bureaucracy (Extended Yawn),rap,Lil Paperwork,2015,23940,{},"[Verse 1]
Stamp, stamp, initial, stamp
I have been in this queue since I was a child
The clerk who greeted me is now a lamp
The lamp says my application has been filed

[Chorus]
Take a number, take a number
Take a number, take a nap
I took a number in the summer
It is winter and I'm still in this trap",3,en,en,en
Quarterly Feelings Review,rb,Sheila Ledger,2005,15588,{},"[Verse 1]
You said my sadness lacked alignment
You said my joy was off-brand
You gave my heartbreak a two out of five
And a plan for professional development

[Chorus]
Circle back, circle back
Let's take my grief offline
I'll be crying in the stairwell
From nine until nine-oh-nine",4,en,en,en
The Printer Knows What It Did,rock,Office Kitchen Massacre,2014,60422,{},"[Verse 1]
It jams when I am watching
It works when I am not
It printed forty copies of a man I've never met
Wearing nothing but a thought

[Chorus]
The printer knows, the printer knows
The printer knows what it did
It printed out my resignation
Before I even wrote the lid",5,en,en,en
Doug Took the Good Chair,country,The Rusty Gutters,2009,31074,{},"[Verse 1]
I went to lunch, I ate a bun
I came back and my chair was gone
Doug was in it, spinning slow
Doug looked at me and whispered ""no""

[Chorus]
Doug took the good chair
Doug took the good chair
I got lumbar, Doug got glory
Doug took the good chair",6,en,en,en
Out of Office Forever,pop,Wallpaper Sadness,2021,122980,{},"[Verse 1]
I set my auto-reply to a poem
I set my auto-reply to a scream
I set my auto-reply to the sound of a door
Closing gently on a dream

[Chorus]
I am out of office, I am out of office
I will respond in the year of the whale
I am out of office, I am out of office
Please redirect your urgency to a snail",7,en,en,en
"Onboarding, Day Nine Hundred",misc,The Damp Cardigans,2012,9931,{},"[Verse 1]
They gave me a lanyard and a buddy
My buddy has retired
They gave me a mug that says ""welcome aboard""
The ship, I'm told, expired

[Chorus]
Still onboarding, still onboarding
Still learning where the forks are kept
Still onboarding, still onboarding
I have onboarded and I have wept",8,en,en,en
Synergy Is a Type of Soup,rap,MC Deliverable,2016,44810,{},"[Verse 1]
We aligned on the ask, we unpacked the lift
We took it offline and we let it drift
We circled the wagon, we boiled the ocean
We stirred the synergy with slow devotion

[Chorus]
Synergy is a type of soup
It has no beans, it has no broth
You cannot eat it with a spoon
But it will still stain your cloth",9,en,en,en
Mandatory Fun (Attendance Required),rock,Tepid Thunder,2013,27365,{},"[Verse 1]
They booked a room, they bought a cake
They said ""be yourselves, but not like that""
There is a man in a vest with a clipboard
Measuring how much fun we've had

[Chorus]
Mandatory fun, mandatory fun
Smile for the survey, laugh on the hour
Mandatory fun, mandatory fun
The joy is scheduled and it lasts til four",10,en,en,en
You Microwaved the Fish,rock,Office Kitchen Massacre,2014,71204,{},"[Verse 1]
There were rules, unwritten, sacred
There were laws older than bread
You put a salmon in the box of light
And now the whole floor smells of dread

[Chorus]
You microwaved the fish
You microwaved the fish
Ninety seconds, one wish
Now we live inside the fish",11,en,en,en
Lasagna at Dawn,pop,The Oven Mitts,2011,55031,{},"[Verse 1]
Nobody eats lasagna at four in the morning
Nobody but me and the moon
I layer, I weep, I layer again
The béchamel forgives me soon

[Chorus]
Lasagna at dawn, lasagna at dawn
Nine layers deep and I'm not done
Lasagna at dawn, lasagna at dawn
I have become the noodle and the sun",12,en,en,en
Spaghetti in the Server Room,rock,The Damp Cardigans,2012,18877,{},"[Verse 1]
I brought my dinner where the cables sleep
The fans were loud, the sauce was deep
A red strand fell on rack number three
And now the internet tastes like me

[Chorus]
Spaghetti in the server room
Spaghetti in the server room
We lost the database, we lost the bloom
But dinner was warm in the humming gloom",13,en,en,en
Hot Sauce on the Hymnal,misc,The Reverend Peppers,1996,12043,{},"[Verse 1]
I sneezed at the moment of blessing
I was holding a bottle of flame
The hymnal is now a hot hymnal
And the choir will not say my name

[Chorus]
Hot sauce on the hymnal
Hot sauce on the pew
Forgive me, I am criminal
Verse two is burning through",14,en,en,en
The Soup Has Opinions,rb,Velveeta Moonbeam,2017,39902,{},"[Verse 1]
I stirred it once, it stirred me back
I asked for salt, it asked for space
The soup has read my diary
The soup has seen my face

[Chorus]
The soup has opinions
The soup has a plan
The soup does not respect me
The soup is a man",15,en,en,en
"Ninety-Nine Sandwiches, No Bread",rap,Big Coo,2022,96741,{},"[Verse 1]
Got the ham, got the cheese, got the little bitter leaf
Got the mustard in a jar shaped like a grief
Got the pickle, got the onion, got the sauce that goes on top
Went to grab the bread and the bread had stopped

[Chorus]
Ninety-nine sandwiches, no bread
Ninety-nine sandwiches, no bread
I built them all inside my head
Ninety-nine sandwiches, no bread",16,en,en,en
My Sourdough Starter Left Me,country,Duane Fenceposte,2004,20155,{},"[Verse 1]
I named him Gary, I fed him flour
I sang to Gary every hour
I went to Reno for a weekend spree
Came back and Gary had moved to Tennessee

[Chorus]
My sourdough starter left me
Took the jar and took the towel
He rose without me, he rose without me
Now the kitchen's cold and foul",17,en,en,en
Do Not Refrigerate the Bananas,pop,Marmalade Nunchuck,2021,63410,{},"[Verse 1]
I told you once, I told you twice
I told you in a note of rice
You opened the door, you slid them in
And now the fruit bowl weeps for kin

[Chorus]
Do not refrigerate the bananas
Do not refrigerate the pears
Do not refrigerate the bananas
Or the bananas will refrigerate yours",18,en,en,en
Toast Is a Lifestyle,rock,Grand Uncle Nebula,1998,8802,{},"[Verse 1]
I have no career, I have a toaster
I have no plan, I have a slot
I lower the lever like a prayer
And I ask it what I've got

[Chorus]
Toast is a lifestyle, toast is a creed
Toast is the only thing I need
Brown on the outside, warm in the seed
Toast is a lifestyle, toast is a creed",19,en,en,en
The Casserole Incident of '87,misc,The Kleenex Regrets,2015,14760,{},"[Verse 1]
We do not speak of it at Christmas
We do not speak of it at all
There is a dish in Grandma's cupboard
That still faces the wall

[Chorus]
The casserole incident, the casserole incident
Nine cousins went in, seven came out
The casserole incident, the casserole incident
Nobody knows what it was about",20,en,en,en
My Landlord Is a Pigeon,rap,Big Coo,2022,110238,{},"[Verse 1]
He coos at me on the first of the month
He nods at the mailbox, he nods at the sill
I slide the rent beneath a paving stone
And he takes it in his little bill

[Chorus]
My landlord is a pigeon
My landlord is a bird
He has never fixed the boiler
And he's never said a word",21,en,en,en
Goose With a Briefcase,pop,Marmalade Nunchuck,2021,154902,{},"[Verse 1]
He walks through the terminal, gate twenty-nine
He does not have a ticket, he does not stand in line
Security waved him through with a nod of quiet fear
The goose has a meeting and the meeting is here

[Chorus]
Goose with a briefcase, goose with a plan
Goose with a briefcase, more employed than a man
Goose with a briefcase, don't look at his eyes
The goose is your manager now. Surprise.",22,en,en,en
"The Ballad of Steve, a Cactus",country,Waylon Prickle,2007,33218,{},"[Verse 1]
Steve don't move and Steve don't talk
Steve don't join us on the walk
But Steve has seen four marriages fail
And Steve has never told the tale

[Chorus]
Oh Steve, oh Steve, oh spiny friend
You'll outlive me and my extended kin
You need a thimble of water in the spring
And that's the only thing",23,en,en,en
Fourteen Ducks in a Trench Coat,pop,Quackrid,2019,87330,{},"[Verse 1]
They came to the cinema, bought one ticket
They stood very tall, they stood very still
The usher said ""sir, your coat is quacking""
The coat said ""that is a personal skill""

[Chorus]
Fourteen ducks in a trench coat
Fourteen ducks, one dream
Fourteen ducks in a trench coat
Watching a film about a stream",24,en,en,en
I Owe a Raccoon Six Hundred Dollars,rock,Tepid Thunder,2013,45011,{},"[Verse 1]
It was a loan, it was informal
He had the cash, I had the need
He shook my hand with a small grey hand
And we sealed it with a seed

[Chorus]
I owe a raccoon six hundred dollars
I owe a raccoon and he knows my street
He does not call, he does not holler
He just tips my bins to the beat",25,en,en,en
My Cat Has Started Invoicing Me,rb,Soap Anderson,2018,72144,{},"[Verse 1]
Line item one: emotional labour
Line item two: the sitting on the lap
Line item three: consulting on the curtains
Line item four: a nap

[Chorus]
My cat has started invoicing me
Net thirty, no disputes
My cat has started invoicing me
And she's raised her rates for boots",26,en,en,en
The Horse Knows About the Money,country,Bronze Medal Barry,2006,26088,{},"[Verse 1]
I hid it in the barn, I hid it in the hay
I hid it where the horse could not see
But the horse was watching from the corner of the stall
And the horse is watching me

[Chorus]
The horse knows about the money
The horse knows about the tin
The horse has told the other horses
And the other horses grin",27,en,en,en
Bees Have Ruined My Wedding (Again),pop,The Kleenex Regrets,2015,51876,{},"[Verse 1]
Third time lucky, third time stung
Third dress ruined, third bell rung
The vicar ran, the cake dissolved
The bees stayed on, the bees resolved

[Chorus]
Bees have ruined my wedding again
Bees have ruined my day
I have tried four venues in four counties
And the bees know the way",28,en,en,en
Sheep Do Not Forgive,rock,The Beige Alarmists,2019,19430,{},"[Verse 1]
I counted them once to fall asleep
I miscounted, I skipped a sheep
Sheep number four has not forgotten
Sheep number four has gone rotten

[Chorus]
Sheep do not forgive, sheep do not forget
Sheep keep a ledger that is very wet
Sheep do not forgive, sheep do not move on
Sheep will be waiting when the light is gone",29,en,en,en
"Dog Elected Mayor, Town Thrives",misc,Grand Uncle Nebula,1998,30290,{},"[Verse 1]
He ran on a platform of naps and of sticks
He promised a fountain, he built us six
The roads got smoother, the taxes got low
He cannot read but the numbers show

[Chorus]
Dog elected mayor, town thrives
Dog elected mayor, best day of our lives
He barks at the budget, he barks at the moon
Re-elect the dog in June",30,en,en,en
The Moon Owes Me Money,rb,Luna Debtson,2010,68901,{},"[Verse 1]
I lent it to the moon in a generous year
The moon said ""I'm good for it, do not fear""
That was eleven Novembers ago
And the moon just glows and glows and glows

[Chorus]
The moon owes me money
The moon owes me eight
The moon is a debtor
The moon is my mistake",31,en,en,en
"Pluto Called, He's Fine",pop,Quackrid,2019,91203,{},"[Verse 1]
He said he's been meaning to text
He said the demotion was fine
He said he's got hobbies now, ceramics and ice
He said he's been feeling divine

[Chorus]
Pluto called, he's fine
Pluto called, don't fuss
Pluto says he never liked the meetings
And he's better off without us",32,en,en,en
I Parked My Rocket in a Meadow,country,Waylon Prickle,2007,22011,{},"[Verse 1]
I came from beyond the seventh ring
To see if the grass was as soft as they sing
I landed at noon in a farmer's field
And the farmer said ""move it"" and the cows appealed

[Chorus]
I parked my rocket in a meadow
I parked it on a cow's good spot
I have crossed nine hundred galaxies
To be told where I may not",33,en,en,en
"Astronaut, Wrong Address",rock,The Damp Cardigans,2012,37440,{},"[Verse 1]
They gave me a suit and they gave me a seat
They gave me a number and a countdown beat
I typed the coordinates in a hurry that day
Now I'm orbiting a laundromat in a nebula grey

[Chorus]
Astronaut, wrong address
Astronaut, wrong star
I have gone incredibly far
To be incredibly not where you are",34,en,en,en
Black Hole in the Utility Room,misc,Grand Uncle Nebula,1998,15590,{},"[Verse 1]
It started as a stain by the washing machine
It ate a sock, then it ate the sheen
The plumber came out and he scratched his head
And then the plumber was extremely dead

[Chorus]
Black hole in the utility room
Black hole where the mop should be
It's taken the boiler and the ironing board
And it's coming for the boiler's memory",35,en,en,en
